"customer_id","first_name","last_name","email","sum"
318,"Brian","Wyman","brian.wyman@sakilacustomer.org","27.93"
281,"Leona","Obrien","leona.obrien@sakilacustomer.org","32.90"
248,"Caroline","Bowman","caroline.bowman@sakilacustomer.org","37.87"
320,"Anthony","Schwab","anthony.schwab@sakilacustomer.org","47.85"
110,"Tiffany","Jordan","tiffany.jordan@sakilacustomer.org","49.88"
586,"Kirk","Stclair","kirk.stclair@sakilacustomer.org","50.83"
288,"Bobbie","Craig","bobbie.craig@sakilacustomer.org","52.81"
250,"Jo","Fowler","jo.fowler@sakilacustomer.org","54.85"
271,"Penny","Neal","penny.neal@sakilacustomer.org","56.84"
395,"Johnny","Turpin","johnny.turpin@sakilacustomer.org","57.81"
124,"Sheila","Wells","sheila.wells@sakilacustomer.org","57.86"
61,"Katherine","Rivera","katherine.rivera@sakilacustomer.org","57.87"
252,"Mattie","Hoffman","mattie.hoffman@sakilacustomer.org","58.80"
97,"Annie","Russell","annie.russell@sakilacustomer.org","58.82"
159,"Jill","Hawkins","jill.hawkins@sakilacustomer.org","58.83"
162,"Lauren","Hudson","lauren.hudson@sakilacustomer.org","59.83"
136,"Anita","Morales","anita.morales@sakilacustomer.org","59.86"
330,"Scott","Shelley","scott.shelley@sakilacustomer.org","60.82"
401,"Tony","Carranza","tony.carranza@sakilacustomer.org","62.81"
549,"Nelson","Christenson","nelson.christenson@sakilacustomer.org","62.84"
492,"Lester","Kraus","lester.kraus@sakilacustomer.org","62.85"
557,"Felix","Gaffney","felix.gaffney@sakilacustomer.org","63.78"
350,"Juan","Fraley","juan.fraley@sakilacustomer.org","63.79"
313,"Donald","Mahon","donald.mahon@sakilacustomer.org","63.84"
548,"Allan","Cornish","allan.cornish@sakilacustomer.org","63.84"
326,"Jose","Andrew","jose.andrew@sakilacustomer.org","64.82"
344,"Henry","Billingsley","henry.billingsley@sakilacustomer.org","64.84"
164,"Joann","Gardner","joann.gardner@sakilacustomer.org","64.85"
413,"Marvin","Yee","marvin.yee@sakilacustomer.org","65.81"
328,"Jeffrey","Spear","jeffrey.spear@sakilacustomer.org","65.83"
353,"Jonathan","Scarborough","jonathan.scarborough@sakilacustomer.org","65.83"
272,"Kay","Caldwell","kay.caldwell@sakilacustomer.org","65.87"
568,"Alberto","Henning","alberto.henning@sakilacustomer.org","66.79"
458,"Lloyd","Dowd","lloyd.dowd@sakilacustomer.org","66.81"
191,"Jeanette","Greene","jeanette.greene@sakilacustomer.org","66.82"
218,"Vera","Mccoy","vera.mccoy@sakilacustomer.org","67.82"
48,"Ann","Evans","ann.evans@sakilacustomer.org","67.86"
315,"Kenneth","Gooden","kenneth.gooden@sakilacustomer.org","67.86"
464,"Jerome","Kenyon","jerome.kenyon@sakilacustomer.org","67.86"
283,"Felicia","Sutton","felicia.sutton@sakilacustomer.org","68.77"
355,"Terry","Grissom","terry.grissom@sakilacustomer.org","68.81"
525,"Adrian","Clary","adrian.clary@sakilacustomer.org","68.82"
465,"Floyd","Gandy","floyd.gandy@sakilacustomer.org","68.84"
310,"Daniel","Cabral","daniel.cabral@sakilacustomer.org","68.87"
369,"Fred","Wheat","fred.wheat@sakilacustomer.org","69.79"
514,"Franklin","Troutman","franklin.troutman@sakilacustomer.org","69.79"
117,"Edith","Mcdonald","edith.mcdonald@sakilacustomer.org","69.83"
303,"William","Satterfield","william.satterfield@sakilacustomer.org","70.81"
370,"Wayne","Truong","wayne.truong@sakilacustomer.org","70.81"
255,"Irma","Pearson","irma.pearson@sakilacustomer.org","70.82"
378,"Eugene","Culpepper","eugene.culpepper@sakilacustomer.org","70.82"
177,"Samantha","Duncan","samantha.duncan@sakilacustomer.org","71.77"
278,"Billie","Horton","billie.horton@sakilacustomer.org","71.79"
430,"Ray","Houle","ray.houle@sakilacustomer.org","71.80"
94,"Norma","Gonzales","norma.gonzales@sakilacustomer.org","71.81"
222,"Delores","Hansen","delores.hansen@sakilacustomer.org","71.84"
301,"Robert","Baughman","robert.baughman@sakilacustomer.org","71.85"
85,"Anne","Powell","anne.powell@sakilacustomer.org","72.79"
325,"Timothy","Bunn","timothy.bunn@sakilacustomer.org","72.82"
556,"Armando","Gruber","armando.gruber@sakilacustomer.org","72.82"
95,"Paula","Bryant","paula.bryant@sakilacustomer.org","72.83"
411,"Norman","Currier","norman.currier@sakilacustomer.org","73.76"
335,"Gregory","Mauldin","gregory.mauldin@sakilacustomer.org","73.78"
596,"Enrique","Forsythe","enrique.forsythe@sakilacustomer.org","73.78"
543,"Lance","Pemberton","lance.pemberton@sakilacustomer.org","73.80"
79,"Rachel","Barnes","rachel.barnes@sakilacustomer.org","73.81"
152,"Alicia","Mills","alicia.mills@sakilacustomer.org","73.81"
428,"Herbert","Kruger","herbert.kruger@sakilacustomer.org","73.81"
399,"Danny","Isom","danny.isom@sakilacustomer.org","73.82"
291,"Toni","Holt","toni.holt@sakilacustomer.org","73.83"
398,"Antonio","Meek","antonio.meek@sakilacustomer.org","73.85"
142,"April","Burns","april.burns@sakilacustomer.org","74.77"
76,"Irene","Price","irene.price@sakilacustomer.org","74.79"
420,"Jacob","Lance","jacob.lance@sakilacustomer.org","74.80"
327,"Larry","Thrasher","larry.thrasher@sakilacustomer.org","74.81"
412,"Allen","Butterfield","allen.butterfield@sakilacustomer.org","74.83"
555,"Dwight","Lombardi","dwight.lombardi@sakilacustomer.org","74.83"
194,"Kristen","Chavez","kristen.chavez@sakilacustomer.org","74.84"
183,"Ida","Andrews","ida.andrews@sakilacustomer.org","75.78"
530,"Darryl","Ashcraft","darryl.ashcraft@sakilacustomer.org","75.78"
551,"Clayton","Barbee","clayton.barbee@sakilacustomer.org","75.79"
358,"Samuel","Marlow","samuel.marlow@sakilacustomer.org","75.80"
